0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.8115899,0.6046318,0.8645014,0.56700796,0.059295297,0.1335842,0.88959384,0.62053716,0.0011168122,0.7567158,0.048539698,0.39058924,0.3138634,0.73002267,0.7101254,0.5990014,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.14267641,0.19234514,0.44988793,0.4749114,0.6047019,0.39188486,0.47680765,0.78109974,0.33112264,0.027409554,0.6582249,0.12981606,0.593599,0.27980733,0.8466165,0.104448676,0.8046917,0.44860703,0.004779339,0.5071228,0.17402852,0.6593135,0.78710586,0.21202463,0.7111865,0.112170696,0.82277834,0.26487678,0.94960904,0.098083675,0.7905867,0.022689462,0.60109365,0.5779241,0.19747299,0.6890443,0.7392752,0.5779704,0.896244,0.14224839,0.5098584,0.74611604,0.207497,0.34139192,0.09074122,0.53042495,0.5673218,0.2291587,0.1744445,0.8944758,0.6468913,0.9267862,0.42382163,0.50345165,0.34152782,0.9437335,0.18889421,0.25603098,0.38598937,0.4282903,0.6257993,0.47422862,0.37693304,0.7926802
0.6346602,0.13365394,0.26135457,0.8316311,0.6870792,0.021684706,0.4031629,0.9037779,0.87689036,0.38281995,0.47616118,0.25439632,0.93486595,0.24850202,0.34254283,0.6409656,0.24620366,0.60964775,0.4772848,0.09215361,0.13118893,0.11555749,0.7401044,0.13622695,0.07523286,0.48792654,0.6035941,0.8280004,0.97780496,0.43492806,0.7933436,0.11814624,0.91300434,0.5357975,0.2335543,0.57808536,0.12019193,0.06957388,0.64525366,0.14654732,0.9603386,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.061902225,0.21087849,0.91271335,0.66606605,0.656637,0.80153185,0.95097965,0.11809087,0.8248409,0.49182218,0.83879554,0.88399625,0.82982713,0.53000593,0.74506754,0.29036027,0.7375368,0.4569034,0.6323077,0.53460145,0.29300243,0.57158273,0.71112746,0.7323407,0.5155272,0.07278681,0.24993551,0.54418606,0.71477294,0.9624449,0.86909676,0.7465952,0.35363352,0.5910078,0.6876867,0.47579753,0.20781726,0.17163754,0.9637948
0.45753795,0.62719053,0.53634465,0.74562556,0.73525006,0.7374994,0.054086745,0.79408073,0.22900498,0.42142934,0.14919037,0.8052734,0.62525934,0.80394715,0.28660655,0.11406112,0.5237538,0.46808535,0.9307616,0.59032947,0.58675563,0.5069074,0.18331683,0.8531783,0.43288577,0.47055393,0.51538694,0.17271727,0.9117282,0.09738624,0.67874724,0.0006648898,0.059647262,0.7657084,0.5594701,0.8680302,0.062666,0.04421079,0.9148812,0.4700181,0.6272892,0.44589132,0.37203997,0.4549321,0.7486142,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.8892811,0.76132476,0.725599,0.41953826,0.4801858,0.34865588,0.4570343,0.40140283,0.66587675,0.58648896,0.18595171,0.93536514,0.16094464,0.75703496,0.85647726,0.67406154,0.4457494,0.84554726,0.7883752,0.35317183,0.5290507,0.5753418,0.04762888,0.85822964,0.23603117,0.055784047,0.45037782,0.96671957,0.71244717,0.057465374,0.21539116,0.28543752,0.8678457,0.1837002,0.40067518
0.059820235,0.53901917,0.25758755,0.9161069,0.5141788,0.8651324,0.40648168,0.11082029,0.5234958,0.5373245,0.1782561,0.6773117,0.7691027,0.52149874,0.29076588,0.78449726,0.810189,0.14269257,0.27096945,0.20972621,0.58738965,0.027066529,0.115565896,0.21807891,0.89017475,0.44015485,0.34413272,0.08100629,0.13275772,0.6050491,0.66980106,0.067044675,0.058193922,0.5490572,0.05250621,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.86911684,0.77962816,0.08631033,0.90057516,0.7328077,0.53826237,0.7385294,0.09444803,0.27603066,0.6878337,0.88970023,0.013766825,0.5542256,0.043697357,0.7796915,0.8599634,0.021170437,0.60179013,0.72161776,0.9924507,0.6136096,0.07287115,0.69896156,0.20119834,0.9087699,0.30045485,0.8796488,0.20205855,0.17514867,0.30441564,0.71229255,0.71635056,0.55368626,0.9139555,0.05615014,0.60450566,0.71492964,0.43195516,0.8050669,0.35073483,0.7301814,0.8510829,0.8371282,0.6704635,0.55914193
0.09799677,0.37962252,0.89860487,0.74096155,0.32159454,0.02649486,0.7903775,0.76074773,0.5530589,0.35949534,0.33449888,0.7189178,0.89646435,0.6711823,0.46099186,0.1357733,0.38097668,0.14496917,0.14893359,0.42658448,0.11486262,0.89348394,0.48204947,0.16743398,0.42380732,0.02869761,0.9600163,0.98800623,0.82482135,0.065229654,0.52894646,0.6229447,0.12277329,0.9972919,0.57958186,0.9991784,0.81763697,0.47013754,0.21844321,0.033926547,0.9859522,0.1382997,0.6477744,0.87198126,0.37923807,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.013602078,0.82116973,0.01335901,0.9117377,0.89799607,0.5632877,0.7300964,0.29858422,0.55191785,0.9957572,0.7757114,0.2888099,0.38060874,0.49504477,0.89475113,0.69060725,0.62412846,0.58938026,0.16781914,0.8702405,0.6785542,0.60917807,0.058392823,0.54896426,0.14948034,0.85242146,0.76085234,0.82275796,0.95918524,0.9865851,0.62800026,0.33731216,0.22344697,0.72939384,0.6846092
0.8721587,0.27502477,0.36847955,0.4163943,0.86786145,0.19702345,0.9648632,0.9818286,0.7608116,0.5075716,0.6971239,0.9576101,0.83699286,0.5833318,0.21430784,0.051591396,0.50581056,0.72551584,0.86861706,0.10886049,0.20498842,0.054786384,0.19327128,0.4567628,0.9456974,0.8694756,0.028902352,0.48888868,0.9868205,0.8638563,0.54618084,0.8112623,0.7477457,0.14377308,0.34688115,0.3700933,0.6783113,0.9310716,0.21464622,0.10575706,0.3655789,0.32423455,0.41389263,0.6729058,0.7742259,0.5940491,0.26289845,0.92073506,0.27071494,0.32902205,0.8196198,0.25274414,0.30131346,0.7952205,0.77066094,0.6501076,0.9873027,0.36364156,0.39594573,0.35663372,0.5538377,0.77012813,0.10929793,0.42467755,0.34730268,0.95456934,0.6797647,0.06609374,0.031547606,0.98646086,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.73143667,0.16802526,0.74680495,0.53824455,0.8955658,0.53718835,0.43593967,0.9131933,0.9746236,0.760589
0.46243793,0.36724406,0.88198596,0.105368555,0.14142835,0.5950241,0.3458109,0.94231653,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.14918977,0.14585942,0.41628724,0.98299396,0.28244048,0.16429108,0.91771734,0.84870327,0.29329222,0.9165332,0.09346694,0.92547905,0.38562566,0.4172634,0.08980149,0.85210466,0.8981866,0.09542644,0.59472734,0.8019317,0.49017674,0.5751397,0.9750347,0.1864661,0.7781166,0.011927962,0.08197212,0.43886602,0.5598274,0.0010901093,0.7544729,0.66016597,0.28585243,0.38085634,0.79721534,0.52933455,0.77166444,0.35871655,0.07914382,0.35060197,0.59811705,0.5106068,0.40662158,0.37486356,0.563527,0.8920319,0.32678866,0.05423236,0.7353963,0.03319806,0.92303807,0.9292835,0.23529911,0.6636763,0.3038354,0.55638105,0.5529774,0.38987774,0.5567495,0.046072543,0.86016196,0.018207073,0.27608824,0.036981344,0.9253262,0.73853445,0.3325752,0.3529017,0.3453598,0.6185297,0.24386638,0.6549919
0.4946621,0.24263996,0.12176138,0.8778474,0.95159245,0.05094999,0.21944875,0.82174903,0.7447296,0.61733073,0.15238202,0.28471112,0.37200958,0.87368995,0.25792086,0.8551836,0.804231,0.6426778,0.8790785,0.3712241,0.67758495,0.0066425204,0.9247094,0.86689395,0.58066213,0.3971157,0.18256927,0.46095532,0.97435665,0.13522011,0.008377612,0.4687484,0.20972604,0.31615216,0.5527294,0.44194484,0.40691954,0.99449146,0.92437726,0.64659566,0.6160462,0.11127889,0.6553383,0.69693947,0.39534247,0.6872562,0.7048328,0.774398,0.27891195,0.055680513,0.98032874,0.39444155,0.986641,0.61416596,0.548143,0.70737606,0.63582593,0.09242344,0.44491982,0.71068144,0.56702155,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.15383065,0.16752762,0.39115626,0.86215717,0.7305962,0.76287276,0.7960975,0.48441952,0.55120414,0.8000874,0.649656,0.4544196,0.20055634,0.62591153,0.49823397,0.6976087,0.69125885,0.36003447,0.1372025
0.3272413,0.09374195,0.23412144,0.4414202,0.95045793,0.63034636,0.74220324,0.4621272,0.025229633,0.43311274,0.9414615,0.1733098,0.5800462,0.22954983,0.15466207,0.39286762,0.82600576,0.70237696,0.49719483,0.69497293,0.46056867,0.5677893,0.562278,0.47255743,0.427333,0.67766726,0.30973834,0.84081876,0.08979368,0.5099481,0.10555494,0.70221925,0.17993808,0.5576254,0.6923591,0.28925306,0.15131432,0.6470469,0.21101612,0.03536433,0.61204123,0.08356297,0.5558885,0.1808911,0.514478,0.06484187,0.63588417,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.5284445,0.46313238,0.20530283,0.45089757,0.18153244,0.33552277,0.10615605,0.89470416,0.010889947,0.2639234,0.3777752,0.18049288,0.9101543,0.25350523,0.50749546,0.6422655,0.9718576,0.16735405,0.43856955,0.15139788,0.76220345,0.12391043,0.7805754,0.9135008,0.13795227,0.5271203,0.030174911,0.06080091,0.7620832,0.95577204,0.1748277,0.6549087,0.38065416
0.846461,0.3416052,0.0044760704,0.049899638,0.2667927,0.8851268,0.3220812,0.92834437,0.5117119,0.8174906,0.8527506,0.043875635,0.79994667,0.93326116,0.40671754,0.26386434,0.77101606,0.05897355,0.6489358,0.2838621,0.33393335,0.450117,0.18133008,0.5714861,0.042289138,0.37808186,0.2712171,0.5361154,0.045548975,0.74227256,0.6086823,0.86293423,0.09421909,0.426005,0.43686062,0.19033378,0.7609041,0.6493679,1.0,0.5,0.3,0.8,0.9,0.2,0.4,0.7,0.6,0.1,0.9,0.3,0.5,0.2,0.7,0.8,0.6,0.4,0.1,0.0,0.7583255,0.99874866,0.12811965,0.2064845,0.05457151,0.56445014,0.064314365,0.42967445,0.7996243,0.7578754,0.6488232,0.7064993,0.8001817,0.83169293,0.5018715,0.9733266,0.6824084,0.038167894,0.8911204,0.43577337,0.96546847,0.4840132,0.33663154,0.37764502,0.20358104,0.7100415,0.97836286,0.26567435,0.78626436,0.7221876,0.33209085,0.45209193,0.72880507,0.78061855,0.26306093,0.9350724,0.7908154,0.88005674,0.86060107,0.30156517,0.26723558,0.39804405
